GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1908,)              | Memory: 0.0145 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 80 * Size:(891, 450)           | Memory: 122.36 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(477, 4)             | Memory: 0.0145 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(477, 450)           | Memory: 0.8188 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(891, 482)           | Memory: 3.2765 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(477,)               | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(2673, 450)          | Memory: 91.770 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2673,)              | Memory: 0.3874 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(477, 932)           | Memory: 1.6958 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(891, 932)           | Memory: 126.71 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(891, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(891,)               | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(891, 3, 450)        | Memory: 178.95 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(891, 3)             | Memory: 0.0203 M | <class 'torch.Tensor'> | torch.int64
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:616.4  Mb Total Allocated Memory:534.0  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:616.4  Mb Total Allocated Memory:534.0  Mb

+ | 2 * Size:(10074,)             | Memory: 0.1537 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(778, 521)           | Memory: 1.5462 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1679, 82)           | Memory: 0.5251 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1679, 6)            | Memory: 0.0768 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1679, 450)          | Memory: 5.7643 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(778, 6)             | Memory: 0.0356 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4668,)              | Memory: 0.0356 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:624.6  Mb Total Allocated Memory:552.3  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 2 * Size:(10074,)             | Memory: 0.1537 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1679, 82)           | Memory: 0.5251 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(891, 1)             | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1679, 450)          | Memory: 5.7643 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(778, 6)             | Memory: 0.0356 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(891, 3, 450)        | Memory: 178.95 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(891, 3)             | Memory: 0.0203 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4668,)              | Memory: 0.0356 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(778, 521)           | Memory: 1.5462 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(477, 450)           | Memory: 0.8188 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2673, 450)          | Memory: 91.770 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2673,)              | Memory: 0.3874 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(891, 932)           | Memory: 126.71 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1679, 6)            | Memory: 0.0768 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(891,)               | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1908,)              | Memory: 0.0145 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(891, 450)           | Memory: 122.36 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(891, 482)           | Memory: 3.2765 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(477,)               | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(477, 932)           | Memory: 1.6958 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(477, 4)             | Memory: 0.0145 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 2 * Size:(815,)               | Memory: 0.0124 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1756,)              | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(2445, 450)          | Memory: 83.942 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(439,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(439, 4)             | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(439, 450)           | Memory: 0.7535 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(815, 482)           | Memory: 2.9970 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(815, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(815, 450)           | Memory: 111.92 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(815, 3)             | Memory: 0.0186 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 40 * Size:(815, 932)           | Memory: 115.90 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(815, 3, 450)        | Memory: 163.68 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(2445,)              | Memory: 0.3544 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(439, 932)           | Memory: 1.5607 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:571.5  Mb Total Allocated Memory:501.8  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:571.5  Mb Total Allocated Memory:501.8  Mb

+ | 1 * Size:(725, 521)           | Memory: 1.4409 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(1563, 450)          | Memory: 5.3661 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9378,)              | Memory: 0.1430 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1563, 6)            | Memory: 0.0715 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4350,)              | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(725, 6)             | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1563, 82)           | Memory: 0.4889 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:579.2  Mb Total Allocated Memory:518.6  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(725, 521)           | Memory: 1.4409 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(815,)               | Memory: 0.0124 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(1756,)              | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(439,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(815, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1563, 450)          | Memory: 5.3661 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(439, 932)           | Memory: 1.5607 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1563, 82)           | Memory: 0.4889 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2445, 450)          | Memory: 83.942 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9378,)              | Memory: 0.1430 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(439, 4)             | Memory: 0.0133 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(815, 450)           | Memory: 111.92 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(725, 6)             | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
- | 40 * Size:(815, 932)           | Memory: 115.90 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(815, 3, 450)        | Memory: 163.68 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1563, 6)            | Memory: 0.0715 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(815, 482)           | Memory: 2.9970 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4350,)              | Memory: 0.0331 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(815, 3)             | Memory: 0.0186 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(439, 450)           | Memory: 0.7535 M | <class 'torch.Tensor'> | torch.float32
- | 19 * Size:(2445,)              | Memory: 0.3544 M | <class 'torch.Tensor'> | torch.int64

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(445, 4)             | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(827, 450)           | Memory: 113.57 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(827, 3, 450)        | Memory: 166.09 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2481, 450)          | Memory: 85.178 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(445,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(445, 932)           | Memory: 1.5821 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(827,)               | Memory: 0.0126 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(2481,)              | Memory: 0.3596 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(827, 482)           | Memory: 3.0411 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(827, 3)             | Memory: 0.0189 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(827, 932)           | Memory: 117.60 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(445, 450)           | Memory: 0.7638 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(1780,)              | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(827, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:578.6  Mb Total Allocated Memory:504.0  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:578.6  Mb Total Allocated Memory:504.0  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(4188,)              | Memory: 0.0319 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(698, 521)           | Memory: 1.3872 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(698, 6)             | Memory: 0.0319 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1497, 82)           | Memory: 0.4682 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1497, 450)          | Memory: 5.1395 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(8982,)              | Memory: 0.1370 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1497, 6)            | Memory: 0.0685 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:586.0  Mb Total Allocated Memory:521.2  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(2481,)              | Memory: 0.3596 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(698, 521)           | Memory: 1.3872 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(698, 6)             | Memory: 0.0319 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(1497, 450)          | Memory: 5.1395 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1780,)              | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(445, 4)             | Memory: 0.0135 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(827, 3, 450)        | Memory: 166.09 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(445,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(827, 3)             | Memory: 0.0189 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(445, 450)           | Memory: 0.7638 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(827, 450)           | Memory: 113.57 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4188,)              | Memory: 0.0319 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(2481, 450)          | Memory: 85.178 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1497, 6)            | Memory: 0.0685 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(445, 932)           | Memory: 1.5821 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(827,)               | Memory: 0.0126 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(827, 482)           | Memory: 3.0411 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1497, 82)           | Memory: 0.4682 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(827, 932)           | Memory: 117.60 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(8982,)              | Memory: 0.1370 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(827, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 1 * Size:(871, 3)             | Memory: 0.0199 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
